 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; PS ALCOBENDAS 10 ; 28109 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; PZ PL. LA MORALEJA, S-N S/N ; 28109 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; PZ PL. PRINCIPES DE ESPAÑA, 3 0003 ; 28924 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; AV AV. DE LAS RETAMAS, 13 0013 ; 28922 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; PQ PARQUE BUJARUELO, 33  LOCALES 7.1 Y 6.2 0033 ; 28924 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; CL Mayor 55 ; 28922 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; CL MUNICH, 4 0004 ; 28923 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; AV AVENIDA DE LA LIBERTAD 4 ; 28924 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 009 ; ALGETE ; CL MAYOR, 48 0048 ; 28110 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 010 ; ALPEDRETE ; CL DEL MAESTRO, 4 0004 ; 28430 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 013 ; ARANJUEZ ; CL STUART, 66 0066 ; 28300 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 014 ; ARGANDA DEL REY ; AV DEL EJERCITO, 1 S/N ; 28500 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 014 ; ARGANDA DEL REY ; CL Real 7 ; 28500 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 015 ; ARROYOMOLINOS ; PZ ESPAÑA 2 ; 28939 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 022 ; BOADILLA DEL MONTE ; AV ADOLFO SUAREZ 14 ; 28660 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 022 ; BOADILLA DEL MONTE ; AV AV. CANTABRIA, S-N S/N ; 28660 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 022 ; BOADILLA DEL MONTE ; AV AV. INFANTE DON LUIS, 9 0009 ; 28660 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 022 ; BOADILLA DEL MONTE ; CR UR MONTEPRINCIPE CR BOADILLA KM 5.3 S/N ; 28668 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 026 ; BRUNETE ; CL REAL DE SAN SEBASTIAN 10 ; 28690 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 040 ; CIEMPOZUELOS ; CL VENTURA RODRIGUEZ 0016 ; 28350 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 045 ; COLMENAR VIEJO ; CL MARQUES DE SANTILLANA 0018 ; 28770 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 045 ; COLMENAR VIEJO ; PS PO. DE CRISTO, S-N (RES.STA.TERESA) S/N ; 28770 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 047 ; COLLADO VILLALBA ; CL REAL, 46 0046 ; 28400 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 047 ; COLLADO VILLALBA ; CL REAL, 20 0020 ; 28400 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 049 ; COSLADA ; AV AV. PRINCIPES DE ESPAÑA, 45 (CTRO.CIAL.) 0045 ; 28820 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 049 ; COSLADA ; AV CONSTITUCION 0085 ; 28820 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 049 ; COSLADA ; AV AV. DE LA CONSTITUCION 39 ; 28820 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 049 ; COSLADA ; AV AV. DE LA CONSTITUCION, 76 0076 ; 28820 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 053 ; DAGANZO DE ARRIBA ; CL PINTOR VELAZQUEZ, 2 0002 ; 28814 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 054 ; ESCORIAL (EL) ; CL ALFONSO XII, 13 0013 ; 28280 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 058 ; FUENLABRADA ; CL LA PLAZA, 27 0027 ; 28944 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 058 ; FUENLABRADA ; CL CONSTITUCION, 65 0065 ; 28946 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 058 ; FUENLABRADA ; AV AV. PORTUGAL, 38 0038 ; 28943 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 058 ; FUENLABRADA ; CL LEGANES, 35 0035 ; 28945 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 058 ; FUENLABRADA ; CL FRANCIA, 12 0012 ; 28943 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 058 ; FUENLABRADA ; PZ PL. DE ORENSE, 10 (LOS NARANJOS) 0010 ; 28942 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 061 ; GALAPAGAR ; PZ PL. DE LA MAJA, S-N S/N ; 28260 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; AV AV. DE ESPAÑA, 11-13 0011 ; 28903 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; AV AV. JUAN CARLOS I 16 ; 28905 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; CL JARDINES, 3 0003 ; 28901 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; CL MADRID 75 ; 28902 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; AV AV. MARIA ZAMBRANO, 4 0004 ; 28903 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; CL MADRID,126 EDIF.15 FAC.HUMANID. 0126 ; 28903 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 066 ; GRIÑON ; PZ DE LA GRAMA 0004 ; 28971 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 068 ; GUADARRAMA ; CL ALFONSO SERNA 17 ; 28440 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 073 ; HUMANES DE MADRID ; CL MADRID 38-40 ; 28970 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 074 ; LEGANES ; CL BUTARQUE, 15 0015 ; 28911 ; Operativas ; 
