 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL JORDI GIRONA, 1-3 (CAMPUS NORD) 0001 ; 08034 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL Josep Pla 0025 ; 08019 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV AV. DIAGONAL 696 ; 08034 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV AV. ICARIA, 141 0141 ; 08005 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL SANTS, 26 0026 ; 08014 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL MUNTANER, 105 0105 ; 08036 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL RAMON TRIAS FARGAS, 25-27 0025 ; 08005 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; ZZ GRAN VIA DE LES CORTS CATALANES, 535-537 0535 ; 08011 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; PS PO. DE VALLDAURA, 227-229 0227 ; 08016 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; PS PO. DE MARAGALL, 59-61 0059 ; 08041 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV AV. VIRGEN MONTSERRAT, 20 0020 ; 08024 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL TRAVESSERA DE GRACIA, 393 0393 ; 08025 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL BORI Y FONTESTA, 6-8 0006 ; 08021 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL ARAGON, 639-641 0639 ; 08026 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV Urgel 257 ; 08029 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV AV. MISTRAL, 4-10 0004 ; 08015 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL MUNTANER 572 ; 08022 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL ARIBAU 195 ; 08021 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; PS DE GRACIA 5 ; 08007 ; Operativas ; 
